,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,1.0,0.3660323412732292,0.13261955589475294,0.04755250792540563,0.016870319358849587,0.0059205292203339975,0.002054874770523587,0.000705171668423612,0.0002392118746569992,8.019351175907358e-05,2.6561398887587544e-05,8.68961758838237e-06,2.807160311213694e-06,8.952106946583494e-07,2.817378034665716e-07,8.747673630108589e-08,2.6787279316615678e-08,8.087405845630797e-09,2.4064965221324825e-09,7.055079108655379e-10,2.0370359763344975e-10,5.790407510154705e-11,1.6197958018916904e-11,4.457306690140031e-12,1.206033102075999e-12,3.207202185381504e-13,8.37860994897711e-14,2.1492454304289755e-14,5.410652511578629e-15,1.3360874108178922e-15,3.2344765096247375e-16,7.67200847169125e-17,1.781932589376357e-17,4.050235445743949e-18,9.003130684840668e-19,1.9558505399828282e-19,4.1495155688810013e-20,8.591222076467494e-21,1.7344786157368313e-21,3.411799498897742e-22,6.533186235000685e-23,1.2167494657184115e-23,2.201908947838041e-24,3.867992000620616e-25,6.588745014714492e-26,1.0870986324892129e-26,1.735305655947508e-27,2.6766214874461373e-28,3.9841379142783203e-29,5.7150180948504364e-30,7.888609052210118e-31,1.0461838291314338e-31,1.3308335400789645e-32,1.621010371591056e-33,1.8870489598153331e-34,2.0953249170398427e-35,2.214459024204504e-36,2.2225193867761634e-37,2.113143741011381e-38,1.8983910248606468e-39,1.6069380442589993e-40,1.2777935825534736e-41,9.513923646301775e-43,6.609557828843859e-44,4.2682522381202583e-45,2.551552067298669e-46,1.4056969554982545e-47,7.102217821866477e-49,3.273390607896092e-50,1.3682623708966196e-51,5.153775207319999e-53,1.7369998858057628e-54,5.197603356578103e-56,1.368914790585893e-57,3.1429306415829497e-59,6.223015277861142e-61,1.0498425511251756e-62,1.4886191506362924e-64,1.7469001504088035e-66,1.6669764843963092e-68,1.2676506002282013e-70,7.505162419824988e-73,3.3670573242750526e-75,1.1088993727807374e-77,2.5822498780869587e-80,4.065611775352213e-83,4.100186088849972e-86,2.479335110965981e-89,8.281797452201424e-93,1.3780612339822104e-96,9.999999999999778e-101,2.656139888758656e-105,2.0370359763343844e-110,3.234476509624532e-116,6.53318623500008e-123,7.888609052209067e-131,1.606938044259133e-140,5.153775207320571e-153,1.2676506002283419e-170,1.0000000000000887e-200,0.0
1,1.0,0.7357619789229559,0.4032717107820062,0.19462212006583648,0.08716331668738958,0.03708120932735503,0.015171096710035931,0.006012915409246521,0.002319315132543947,0.0008733161555301317,0.00032168805319411544,0.0001160893855346812,4.1086619100491324e-05,1.427192222403597e-05,4.868167162224714e-06,1.6311838474967165e-06,5.370211710616756e-07,1.7373306774409316e-07,5.5232029934796665e-08,1.7254458906476946e-08,5.296293538469694e-09,1.5971263246363417e-09,4.73063440603753e-10,1.3759763639562151e-10,3.929128895710755e-11,1.1011394169809833e-11,3.0276220275087575e-12,8.164188463807599e-13,2.1582491685074774e-13,5.590867179633749e-14,1.4185489835068493e-14,3.5235644705492105e-15,8.563758385414613e-16,2.0353944396746097e-16,4.728007720251179e-17,1.0727087961598136e-17,2.3755976631843735e-18,5.131550583134472e-19,1.0804123248347812e-19,2.2154324287104855e-20,4.420789352350465e-21,8.57705258969979e-22,1.6165048792921345e-22,2.9566387976673725e-23,5.242758533137105e-24,9.003153219978847e-25,1.4955763931073526e-25,2.40037394902481e-26,3.717507146168927e-27,5.548049919138142e-28,7.967495142732221e-29,1.0993470482036234e-29,1.4550446704863353e-30,1.8441579695526344e-31,2.2341018772074588e-32,2.5819059255524295e-33,2.8405469846841427e-34,2.968355543780352e-35,2.9392823178544024e-36,2.7508148972431963e-37,2.4264764468310893e-38,2.0113781546912245e-39,1.5617856764639603e-40,1.1320207557130687e-41,7.630686501261666e-43,4.764112217084802e-44,2.742762824345713e-45,1.4490676543826368e-46,6.98868894785816e-48,3.0591698363498314e-49,1.207701323581987e-50,4.270024891692857e-52,1.3417241807623763e-53,3.714829137267718e-55,8.976693440151918e-57,1.873127598636204e-58,3.3349998374076424e-60,4.998524217549605e-62,6.211024080226213e-64,6.287676539477701e-66,5.0832789069150896e-68,3.207074404555744e-70,1.5372487272718005e-72,5.425127107892589e-75,1.3582634358737402e-77,2.30791228447494e-80,2.5227859263824047e-83,1.661726678603584e-86,6.0815999290665825e-90,1.1163548778195892e-93,9.009999999999806e-98,2.6883086940780684e-102,2.3446284087608783e-107,4.300467553582222e-113,1.024185828773514e-119,1.4996245808249461e-127,3.8582582442661757e-137,1.6669026945543825e-149,6.2127555917191e-167,9.901000000000874e-197,0.0
2,1.0,0.9206267977478195,0.6766856223517784,0.4197750829818544,0.23214262367750368,0.11826298118512055,0.05661277666785644,0.02578854128231249,0.011272803068666052,0.004756130856629082,0.001944884651880021,0.0007731587523522053,0.00029947296592811533,0.0001132134609499497,4.182625490198516e-05,1.5115919495293865e-05,5.347797864657962e-06,1.8531405916905473e-06,6.292265454309398e-07,2.0940616768885363e-07,6.831709405631815e-08,2.1850563392882132e-08,6.85160844746126e-09,2.10617251132667e-09,6.346239725857587e-10,1.8740751436579256e-10,5.422649823508219e-11,1.5370105462958875e-11,4.2662995053797475e-12,1.1592740927176525e-12,3.082588133121748e-13,8.017838635547189e-14,2.0389809897864318e-14,5.067205445761861e-15,1.2299640626202189e-15,2.91432146229548e-16,6.736576435626395e-17,1.5181546583202785e-17,3.3332509748257566e-18,7.124867036804441e-19,1.4815088652236565e-19,2.994277123647534e-20,5.877057310382305e-21,1.1191936636085667e-21,2.0658606601085369e-22,3.692281091675406e-23,6.3827327084209484e-24,1.065927964679075e-24,1.717585429625942e-25,2.666887815853922e-26,3.984536432271332e-27,5.719915750582856e-28,7.876815563944868e-29,1.0387865214024717e-29,1.3095830837893947e-30,1.5751954284666531e-31,1.803998978345362e-32,1.962824667595564e-33,2.024157389310817e-34,1.9734380020255282e-35,1.813992011261771e-36,1.5674915663840779e-37,1.2692815434481638e-38,9.598593482603618e-40,6.753750366427422e-41,4.40376537094371e-42,2.649392930479138e-43,1.4636659402874001e-44,7.386682099050076e-46,3.386030916032812e-47,1.4010194316085602e-48,5.196478049216203e-50,1.714624642477003e-51,4.990507310468629e-53,1.2692267904353552e-54,2.7910845822734998e-56,5.244505961521667e-58,8.308740170985849e-60,1.0931799403959586e-61,1.1740387237873457e-63,1.0090625542876509e-65,6.784003836858169e-68,3.474275653004387e-70,1.3138707501694224e-72,3.5366591164649395e-75,6.485369039767088e-78,7.683831570999293e-81,5.513193178132926e-84,2.2106960817050856e-87,4.476645699203551e-91,4.018509999999912e-95,1.3468574120658275e-99,1.3358647673663626e-104,2.8303451061683975e-110,7.947736474501099e-117,1.4111546191653283e-124,4.585560010035896e-134,2.668719803606909e-146,1.5072176756775525e-163,4.852485100000422e-193,0.0
3,1.0,0.9816259635553503,0.858961563398295,0.6472492104640186,0.42947556930293307,0.25783865911601483,0.143023088069269,0.07441248160103352,0.03670589923504178,0.017300609121718057,0.007836487121184385,0.0034260455592034843,0.0014504666927057162,0.0005961694775660958,0.00023836306257233887,9.285145440612455e-05,3.528151951370154e-05,1.3089658402512999e-05,4.745187217525229e-06,1.6817785205809737e-06,5.829869649520803e-07,1.9772218147916852e-07,6.562145047645605e-08,2.131469098792654e-08,6.775950603702371e-09,2.1081652676109365e-09,6.418604467796637e-10,1.9121053828243696e-10,5.5722328537433386e-11,1.588117327702927e-11,4.425285341991664e-12,1.2051897336327427e-12,3.20668482496082e-13,8.332141365373742e-14,2.113250466571011e-14,5.228962145506818e-15,1.261560077341602e-15,2.9659735435700575e-16,6.790680517096905e-17,1.5130248201174123e-17,3.278273002669361e-18,6.901902011665127e-19,1.4107599111047953e-19,2.797117810520386e-20,5.374397624605577e-21,9.997058749947831e-22,1.79834295742673e-22,3.1248965582413265e-23,5.2388420845040316e-24,8.462752791136714e-25,1.3154334480650894e-25,1.964592713065078e-26,2.8147932493743935e-27,3.8625110118749105e-28,5.067251792488837e-29,6.343548157697024e-30,7.562564424076874e-31,8.567233050103166e-32,9.201020337261111e-33,9.34479616634321e-34,8.95106271041413e-35,8.062923855575653e-36,6.808735663370337e-37,5.371914452575359e-38,3.945400988930352e-39,2.6867530312983067e-40,1.6891283974283585e-41,9.757765363463391e-43,5.152942162301381e-44,2.473589340330211e-45,1.0726929709868635e-46,4.1738022442257633e-48,1.4461604629870488e-49,4.424760680834616e-51,1.1844017170593807e-52,2.74481708598413e-54,5.44309639482678e-56,9.11505329921753e-58,1.2698394352096353e-59,1.4467766741891423e-61,1.3219568787070382e-63,9.4707952823592e-66,5.182103097237396e-68,2.0999811973021813e-70,6.077442757976785e-73,1.2027270358833908e-75,1.5445103097259165e-78,1.2071492501048917e-81,5.303383430493826e-85,1.1847171098207172e-88,1.1828115099999744e-92,4.453209338516682e-97,5.02294930302439e-102,1.2293337182649992e-107,4.070181092283256e-114,8.76337021257948e-122,3.596639733414671e-131,2.8196692615894744e-143,2.4130658554651627e-160,1.5694587315101348e-189,0.0
4,1.0,0.9965676784122455,0.9491695546304996,0.817854806075642,0.6288640664453018,0.4359813006857108,0.27677521901507474,0.16316424363439846,0.09033655854239951,0.04738667924650567,0.0237110826634769,0.01137725405052458,0.0052565936755725375,0.002346191135476906,0.0010142263905268155,0.0004255138170392379,0.00017354680522595057,6.889995319180914e-05,2.6655148600076022e-05,1.0057032367433366e-05,3.703173057257635e-06,1.3314262512315906e-06,4.675921007645163e-07,1.6045171930381727e-07,5.380558348935862e-08,1.7634290439675838e-08,5.648660508365594e-09,1.7683546942900174e-09,5.409812689924947e-10,1.6170054794417203e-10,4.721295390791065e-11,1.346210683965721e-11,3.747378040381634e-12,1.0179920124363123e-12,2.6976348538158313e-13,6.970170963606973e-14,1.7551116877907224e-14,4.304539156341842e-15,1.0276572921346143e-15,2.386646405987912e-16,5.388191388037912e-17,1.1816478458928193e-17,2.5152158889621825e-18,5.191976127801768e-19,1.0383966428568706e-19,2.010219712363384e-20,3.7628938987928236e-21,6.803266471826493e-22,1.1866355828362387e-22,1.994230088568103e-23,3.2248444478817706e-24,5.010681679138954e-25,7.469245248270285e-26,1.066451118703637e-26,1.4559064999774777e-27,1.8969056293673397e-28,2.3540300593855632e-29,2.7765435965072418e-30,3.1054714813609875e-31,3.2855741745550734e-32,3.2794757286076334e-33,3.0794007573770185e-34,2.7117972486915635e-35,2.2321785480369757e-36,1.7112440457595688e-37,1.217033277148542e-38,7.99552009336568e-40,4.829735275040378e-41,2.668840433442277e-42,1.3415993132113687e-43,6.09764934176084e-45,2.4889013511261635e-46,9.055540411004911e-48,2.9126135844320156e-49,8.205488658277841e-51,2.0039974605772564e-52,4.194001968446146e-54,7.423732412175302e-56,1.0950728457732037e-57,1.323596703278508e-59,1.2857298343563073e-61,9.815631551775473e-64,5.738224385137137e-66,2.491759942176511e-68,7.753092647452463e-71,1.6558626942131133e-73,2.3047676889487443e-76,1.9621881625789167e-79,9.444903822880134e-83,2.32753260899844e-86,2.584543837599944e-90,1.0930529795419529e-94,1.4020725433139585e-99,3.9638243833490136e-105,1.5473803368532937e-111,4.0399843007507756e-119,2.0941721686549098e-128,2.211582844066856e-140,2.8679476172088174e-157,3.76828254804408e-186,0.0
5,1.0,0.999465465536007,0.9845163593582206,0.9191628710986264,0.7883748641591932,0.6159991279561405,0.4406927241741903,0.2914248545729391,0.17987644190772806,0.10451715086808011,0.0575768864870338,0.03024573981869332,0.015221726139805691,0.007366942926448624,0.00343925037371477,0.001552652175137317,0.0006792027072593182,0.00028837561848369086,0.00011899761998799715,4.7776694136961165e-05,1.868006630032427e-05,7.117622212297106e-06,2.644417776170629e-06,9.584116115674203e-07,3.3895367340660005e-07,1.1700149154089131e-07,3.942426308598304e-08,1.2968238673390418e-08,4.164248024390289e-09,1.3052530523760769e-09,3.992943409646157e-10,1.1919133961510301e-10,3.470870675162985e-11,9.85690680928167e-12,2.728949912825856e-12,7.362507298461967e-13,1.9347833032401575e-13,4.949885433300893e-14,1.2321753345177772e-14,2.9826409197354414e-15,7.016085171150644e-16,1.6026756517943655e-16,3.552394715840384e-17,7.634224708704001e-18,1.5892585442014314e-18,3.201849687386182e-19,6.236582429534636e-20,1.1731792682579888e-20,2.128898528458793e-21,3.722078085456529e-22,6.261622562692679e-23,1.0121653028627235e-23,1.5697477645359348e-24,2.3319977636490507e-25,3.312865851284974e-26,4.492233843084803e-27,5.802994885856021e-28,7.126234623644203e-29,8.300524479488131e-30,9.148168573464416e-31,9.515047065190819e-32,9.313481621490167e-33,8.552948818305148e-34,7.345013785850123e-35,5.877501060346463e-36,4.365494333574216e-37,2.996977763225091e-38,1.8929784328038427e-39,1.0945512971566827e-40,5.761839475068642e-42,2.744666753426254e-43,1.175224547877435e-44,4.490006061884998e-46,1.5181267855618515e-47,4.501315844167916e-49,1.1585323654830032e-50,2.5587991904191723e-52,4.7874934328975505e-54,7.477525368433003e-56,9.588010960512324e-58,9.901451823007381e-60,8.054988095038794e-62,5.031089710960817e-64,2.341037213240755e-66,7.831387692106201e-69,1.8050515680955862e-71,2.7231401438594667e-74,2.5253717937012283e-77,1.331820198214268e-80,3.620587395439002e-84,4.4714982068559043e-88,2.1242655503503583e-92,3.0987062290092846e-97,1.0119429438168726e-102,4.657750751897657e-109,1.474629379761087e-116,9.65431375895679e-126,1.3734117617631754e-137,2.6987628535304406e-154,7.16353652271337e-183,0.0
6,1.0,0.9999289163386288,0.9959379459198991,0.9687724905686446,0.8936076820954416,0.7660139840148315,0.6063540325796778,0.44428024216098394,0.3031559914686833,0.19397970258318276,0.11715561543588501,0.06717002376576503,0.03673735305121805,0.019245541512368243,0.009689796686970523,0.004702009352176053,0.002204196697518679,0.0010001290310266459,0.0004399440144460152,0.0001878672074990964,7.796360205413e-05,3.147091533956654e-05,1.2365711924885969e-05,4.732312833636625e-06,1.7646941229928063e-06,6.414394973528613e-07,2.2732007021822463e-07,7.855660033182093e-08,2.6474177583089642e-08,8.700762793479127e-09,2.7884180388494006e-09,8.712990461940619e-10,2.654009598942637e-10,7.878724981453089e-11,2.2787465470010183e-11,6.4190084021504895e-12,1.7603300750784205e-12,4.697581608038681e-13,1.2192306181691376e-13,3.07597778437827e-14,7.538722662370073e-15,1.79364887245735e-15,4.139861246442433e-16,9.2619270576683e-17,2.0068576752677052e-17,4.207620873750919e-18,8.527818916809607e-19,1.6690410667015412e-19,3.150925578486511e-20,5.731018063961242e-21,1.0029797609618068e-21,1.6866496476385225e-22,2.721409929767124e-23,4.20648013157969e-24,6.218287230999327e-25,8.775441398669102e-26,1.1799840701146562e-26,1.5086678551327484e-27,1.8300201295468539e-28,2.1009906503456165e-29,2.2770866000802972e-30,2.323353331498473e-31,2.2249865039873495e-32,1.9934478246743957e-33,1.665014365561088e-34,1.2915315843443884e-35,9.265252416306487e-37,6.119295355674401e-38,3.702368821190565e-39,2.0409215887971875e-40,1.0189211247041237e-41,4.576725431396845e-43,1.836104971284366e-44,6.5260222500321666e-46,2.036513448943189e-47,5.5236920932151514e-49,1.287513215008679e-50,2.5462422122778866e-52,4.210912678030589e-54,5.727996215385641e-56,6.28850444995885e-58,5.451411332127092e-60,3.637827671996889e-62,1.8138616618346383e-64,6.523707313352395e-67,1.6227261267714172e-69,2.6533927651463013e-72,2.6803848747707957e-75,1.5487428493588104e-78,4.644580653703777e-82,6.3797701771524264e-86,3.4045354800771063e-90,5.6476852500516614e-95,2.130475505675119e-100,1.1562003382620401e-106,4.438769391807462e-114,3.670335687921647e-123,7.033517255806285e-135,2.094263894024545e-151,1.1230100252981856e-179,0.0
7,1.0,0.9999917797952614,0.9990680600213504,0.9893761911438216,0.9524879492740568,0.8720395213796206,0.7483494397843822,0.5987792360671826,0.4471097512044601,0.31279495964908194,0.20605086180401053,0.12845366678546438,0.07613609843445375,0.04308075903616752,0.02335378165083196,0.01216519190616706,0.0061048615977739125,0.0029577571777454716,0.001386008996019133,0.0006291399709290306,0.0002769869006561918,0.00011840292371792079,4.918555862734622e-05,1.9869927754070046e-05,7.810691217478686e-06,2.988923904320732e-06,1.1138400559927393e-06,4.0431640833396715e-07,1.4298158750074178e-07,4.926446410987131e-08,1.6538068708308797e-08,5.408859826672497e-09,1.7232209125267083e-09,5.34697535533685e-10,1.6154723975737232e-10,4.750971772496615e-11,1.3595656647062582e-11,3.784184165125065e-12,1.023987287303184e-12,2.6923983396452543e-13,6.874717310560535e-14,1.7035904461438155e-14,4.094204540196201e-15,9.535454745826256e-16,2.150442402992465e-16,4.691892964830164e-17,9.894472567277253e-18,2.0147512311906488e-18,3.956965413368029e-19,7.487017782991143e-20,1.3630718664030193e-20,2.3845735258678425e-21,4.0027835612494927e-22,6.437329693911785e-23,9.902081915162145e-24,1.4543114658674665e-24,2.0355199960673378e-25,2.709544100020389e-26,3.422704445494741e-27,4.093282590376877e-28,4.6227514349994973e-29,4.9166111451044195e-30,4.910000713597026e-31,4.589393547457294e-32,4.001079198232722e-33,3.2412046998886574e-34,2.429723994182418e-35,1.677951582693433e-36,1.0622872737434923e-37,6.132066590485991e-39,3.208512078269314e-40,1.511812607313433e-41,6.368750719263236e-43,2.379536734641494e-44,7.815121685953934e-46,2.2338234317607963e-47,5.494938103559473e-49,1.148641450557203e-50,2.0113402693326942e-52,2.902456438448151e-54,3.3875253506853314e-56,3.1292313380776195e-58,2.231027427579586e-60,1.1920126470600953e-62,4.609239445817611e-65,1.2373089881832178e-67,2.1928490770609632e-70,2.4129206180429474e-73,1.5275151288626115e-76,5.053415080223193e-80,7.720164408972889e-84,4.6278051677218227e-88,8.730263625315176e-93,3.8041930853554114e-98,2.4341882660587236e-104,1.1331966626840372e-111,1.1834556471323535e-120,3.054956500779811e-132,1.3783441202045512e-148,1.4931322826448511e-176,0.0
8,1.0,0.9999991614890327,0.9998106636219498,0.9967839649330926,0.9810080786886985,0.936910409372551,0.8537130531091495,0.7339658557351055,0.5926282257199745,0.44939986372072466,0.3208738883628403,0.2165058673601151,0.13859206412719674,0.08448417568311244,0.049212078777209387,0.027475691410310425,0.014742048162624801,0.007618916966845561,0.003800205305704188,0.0018324254230597326,0.0008553983622184312,0.00038703933568457486,0.0001699121713729129,7.243382112226343e-05,3.0005864761709704e-05,1.2085425981321233e-05,4.734794997889311e-06,1.804972021165112e-06,6.69692169836795e-07,2.4187063039562785e-07,8.504079257936531e-08,2.9107750642106052e-08,9.698353594574806e-09,3.145124152832349e-09,9.925290698646431e-10,3.047217539668222e-10,9.098759680917776e-11,2.6413033135103692e-11,7.451194893892854e-12,2.0417135297635706e-12,5.431126640406794e-13,1.4016878700547164e-13,3.507466387456238e-14,8.503641724187364e-15,1.9959380243005003e-15,4.531617187880626e-16,9.943232606311267e-17,2.1064137507792246e-17,4.303706259374901e-18,8.470935872746043e-19,1.6042818341220003e-19,2.919593654963371e-20,5.098556340543481e-21,8.531026587592123e-22,1.365472762916199e-22,2.08708095780068e-23,3.040612350687127e-24,4.213846399595706e-25,5.543149885359311e-26,6.90537338207223e-27,8.126130982391322e-28,9.008935691823999e-29,9.381834576754883e-30,9.148566285176662e-31,8.324901960621607e-32,7.042817458592695e-33,5.516849121101618e-34,3.983712968174914e-35,2.638950178507846e-36,1.5951840500829835e-37,8.747557865056445e-39,4.323723271875937e-40,1.912602637880783e-41,7.511853322041187e-43,2.5965232787428204e-44,7.821202799690983e-46,2.0303768901809187e-47,4.486106005174692e-49,8.317499201975899e-51,1.2732812055353254e-52,1.5798329958832236e-54,1.5550978958866693e-56,1.1845598870852018e-58,6.781799530132381e-61,2.8193538425369315e-63,8.167606774874195e-66,1.5689096126435724e-68,1.880482165831177e-71,1.3042787658532183e-74,4.75993013697272e-78,8.087675311499153e-82,5.44585989844817e-86,1.1683071328159749e-90,5.880577853845183e-96,4.436549963559443e-102,2.504475963436056e-109,3.303435575401284e-118,1.1486930079328636e-129,7.853246685210874e-146,1.718609303908671e-173,0.0
9,1.0,0.9999999236841247,0.999965583193957,0.9991259415262643,0.993155541217157,0.9718117058365837,0.9224609426543878,0.8379804113696838,0.7219779808448751,0.5875059205843647,0.4512901654420053,0.32775284236828955,0.22565189509283926,0.14772617607870084,0.09224242334926877,0.05509463169229426,0.0315594272941863,0.017378025280302797,0.009217426293290124,0.0047176695524485755,0.002333560986210821,0.0011170049445728683,0.0005179900405994475,0.00023293194286410615,0.00010165344251852556,4.3080914539989556e-05,1.773978632073708e-05,7.10060146145819e-06,2.7635292996171566e-06,1.0460541228062668e-06,3.8514796382399376e-07,1.379471010537269e-07,4.806239054874076e-08,1.6288167619032616e-08,5.368473791372297e-09,1.7204871500331082e-09,5.359912527413407e-10,1.6226594652806192e-10,4.7719147927293374e-11,1.3625749268428367e-11,3.775825639301925e-12,1.0148528415367229e-12,2.644012823956181e-13,6.672621631178255e-14,1.6299624606913756e-14,3.8508286825024235e-15,8.791117416893995e-16,1.9374662442608427e-16,4.117928513727292e-17,8.43137055846562e-18,1.661024489726826e-18,3.1445424790453024e-19,5.712763476058573e-20,9.944933316524655e-21,1.6562896088091114e-21,2.634571810531304e-22,3.9951054089995694e-23,5.764156111129907e-24,7.896085543075956e-25,1.0246237318649365e-25,1.2563858717872564e-26,1.4518826597069488e-27,1.5766639603515856e-28,1.6039504583105563e-29,1.523409121835247e-30,1.3459141425811953e-31,1.1016710877489717e-32,8.318006778385825e-34,5.765528836701885e-35,3.6494699328802446e-36,2.0974011665230878e-37,1.0874918080749477e-38,5.051265750168363e-40,2.0854687406213758e-41,7.586608309627009e-43,2.4082103013281446e-44,6.597569700103326e-46,1.540797163292463e-47,3.0247424918230886e-49,4.9121203257833394e-51,6.479232735082817e-53,6.796094117561724e-55,5.530808506630843e-57,3.3930206328696754e-59,1.5165105155609672e-61,4.741165649286294e-64,9.870950196390452e-67,1.288740641234772e-69,9.793180898358415e-73,3.942602769527704e-76,7.45051252713167e-80,5.6353597374000925e-84,1.374830101998959e-88,7.99352599395376e-94,7.110435033638066e-100,4.8672844334371557e-107,8.108428855528843e-116,3.798032845257073e-127,3.9345532804620743e-143,1.739440174989446e-170,0.0
