,Mon,Tue,Wed,Thu,Fri,omega1
160,1.0,1.0,1.0,1.0,1.0,0.16
161,1.0,1.0,1.0,1.0,1.0,0.161
162,1.0,1.0,1.0,1.0,1.0,0.162
163,1.0,1.0,1.0,1.0,1.0,0.163
164,1.0,1.0,1.0,1.0,1.0,0.164
165,1.0,1.0,1.0,1.0,1.0,0.165
166,1.0,1.0,1.0,1.0,1.0,0.166
167,1.0,1.0,1.0,1.0,1.0,0.167
168,1.0,1.0,1.0,1.0,1.0,0.168
169,1.0,1.0,1.0,1.0,1.0,0.169
170,1.0,1.0,1.0,1.0,1.0,0.17
171,1.0,1.0,1.0,1.0,1.0,0.171
172,1.0,1.0,1.0,1.0,1.0,0.172
173,1.0,1.0,1.0,1.0,1.0,0.173
174,1.0,1.0,1.0,1.0,1.0,0.174
175,1.0,1.0,1.0,1.0,1.0,0.175
176,1.0,1.0,1.0,1.0,1.0,0.176
177,1.0,1.0,1.0,1.0,1.0,0.177
178,1.0,1.0,1.0,1.0,1.0,0.178
179,1.0,1.0,1.0,1.0,1.0,0.179
180,1.0,1.0,1.0,1.0,1.0,0.18
181,1.0,1.0,1.0,1.0,1.0,0.181
182,1.0,1.0,1.0,1.0,1.0,0.182
183,1.0,1.0,1.0,1.0,1.0,0.183
184,1.0,1.0,1.0,1.0,1.0,0.184
185,1.0,1.0,1.0,1.0,1.0,0.185
186,1.0,1.0,1.0,1.0,1.0,0.186
187,1.0,1.0,1.0,1.0,1.0,0.187
188,1.0,1.0,1.0,1.0,1.0,0.188
189,1.0,1.0,1.0,1.0,1.0,0.189
190,1.0,1.0,1.0,1.0,1.0,0.19
191,1.0,1.0,1.0,1.0,1.0,0.191
192,1.0,1.0,1.0,1.0,1.0,0.192
193,1.0,1.0,1.0,1.0,1.0,0.193
194,1.0,1.0,1.0,1.0,1.0,0.194
195,1.0,1.0,1.0,1.0,1.0,0.195
196,1.0,1.0,1.0,1.0,1.0,0.196
197,1.0,1.0,1.0,1.0,1.0,0.197
198,1.0,1.0,1.0,1.0,1.0,0.198
199,1.0,1.0,1.0,1.0,1.0,0.199
200,1.0,1.0,1.0,1.0,1.0,0.2
201,1.0,1.0,1.0,1.0,1.0,0.201
202,1.0,1.0,1.0,1.0,1.0,0.202
203,1.0,1.0,1.0,1.0,1.0,0.203
204,1.0,1.0,1.0,1.0,1.0,0.204
205,1.0,1.0,1.0,1.0,1.0,0.205
206,1.0,1.0,1.0,1.0,1.0,0.206
207,1.0,1.0,1.0,1.0,1.0,0.207
208,1.0,1.0,1.0,1.0,1.0,0.208
209,1.0,1.0,1.0,1.0,1.0,0.209
210,1.0,1.0,1.0,1.0,1.0,0.21
211,1.0,1.0,1.0,1.0,1.0,0.211
212,1.0,1.0,1.0,1.0,1.0,0.212
213,1.0,1.0,1.0,1.0,1.0,0.213
214,1.0,1.0,1.0,1.0,1.0,0.214
215,1.0,1.0,1.0,1.0,1.0,0.215
216,1.0,1.0,1.0,1.0,1.0,0.216
217,1.0,1.0,1.0,1.0,1.0,0.217
218,1.0,1.0,1.0,1.0,1.0,0.218
219,1.0,1.0,1.0,1.0,1.0,0.219
220,1.0,1.0,1.0,1.0,1.0,0.22
221,1.0,1.0,1.0,1.0,1.0,0.221
222,1.0,1.0,1.0,1.0,1.0,0.222
223,1.0,1.0,1.0,1.0,1.0,0.223
224,1.0,1.0,1.0,1.0,1.0,0.224
225,1.0,1.0,1.0,1.0,1.0,0.225
226,1.0,1.0,1.0,1.0,1.0,0.226
227,1.0,1.0,1.0,1.0,1.0,0.227
228,1.0,1.0,1.0,1.0,1.0,0.228
229,1.0,1.0,1.0,1.0,1.0,0.229
230,1.0,1.0,1.0,1.0,1.0,0.23
231,1.0,1.0,1.0,1.0,1.0,0.231
232,1.0,1.0,1.0,1.0,1.0,0.232
233,1.0,1.0,1.0,1.0,1.0,0.233
234,1.0,1.0,1.0,1.0,1.0,0.234
235,1.0,1.0,1.0,1.0,1.0,0.235
236,1.0,1.0,1.0,1.0,1.0,0.236
237,1.0,1.0,1.0,1.0,1.0,0.237
238,1.0,1.0,1.0,1.0,1.0,0.238
239,1.0,1.0,1.0,1.0,1.0,0.239
240,1.0,1.0,1.0,1.0,1.0,0.24
241,1.0,1.0,1.0,1.0,1.0,0.241
242,1.0,1.0,1.0,1.0,1.0,0.242
243,1.0,1.0,1.0,1.0,1.0,0.243
244,1.0,1.0,1.0,1.0,1.0,0.244
245,1.0,1.0,1.0,1.0,1.0,0.245
246,1.0,1.0,1.0,1.0,1.0,0.246
247,1.0,1.0,1.0,1.0,1.0,0.247
248,1.0,1.0,1.0,1.0,1.0,0.248
249,1.0,1.0,1.0,1.0,1.0,0.249
250,1.0,1.0,1.0,1.0,1.0,0.25
251,1.0,1.0,1.0,1.0,1.0,0.251
252,1.0,1.0,1.0,1.0,1.0,0.252
253,1.0,1.0,1.0,1.0,1.0,0.253
254,1.0,1.0,1.0,1.0,1.0,0.254
255,1.0,1.0,1.0,1.0,1.0,0.255
256,1.0,1.0,1.0,1.0,1.0,0.256
257,1.0,1.0,1.0,1.0,1.0,0.257
258,1.0,1.0,1.0,1.0,1.0,0.258
259,1.0,1.0,1.0,1.0,1.0,0.259
260,1.0,1.0,1.0,1.0,1.0,0.26
261,1.0,1.0,1.0,1.0,1.0,0.261
262,1.0,1.0,1.0,1.0,1.0,0.262
263,1.0,1.0,1.0,1.0,1.0,0.263
264,1.0,1.0,1.0,1.0,1.0,0.264
265,1.0,1.0,1.0,1.0,1.0,0.265
266,1.0,1.0,1.0,1.0,1.0,0.266
267,1.0,1.0,1.0,1.0,1.0,0.267
268,1.0,1.0,1.0,1.0,1.0,0.268
269,1.0,1.0,1.0,1.0,1.0,0.269
270,1.0,1.0,1.0,1.0,1.0,0.27
271,1.0,1.0,1.0,1.0,1.0,0.271
272,1.0,1.0,1.0,1.0,1.0,0.272
273,1.0,1.0,1.0,1.0,1.0,0.273
274,1.0,1.0,1.0,1.0,1.0,0.274
275,1.0,1.0,1.0,1.0,1.0,0.275
276,1.0,1.0,1.0,1.0,1.0,0.276
277,1.0,1.0,1.0,1.0,1.0,0.277
278,1.0,1.0,1.0,1.0,1.0,0.278
279,1.0,1.0,1.0,1.0,1.0,0.279
280,1.0,1.0,1.0,1.0,1.0,0.28
281,1.0,1.0,1.0,1.0,1.0,0.281
282,1.0,1.0,1.0,1.0,1.0,0.282
283,1.0,1.0,1.0,1.0,1.0,0.283
284,1.0,1.0,1.0,1.0,1.0,0.284
285,1.0,1.0,1.0,1.0,1.0,0.285
286,1.0,1.0,1.0,1.0,1.0,0.286
287,1.0,1.0,1.0,1.0,1.0,0.287
288,1.0,1.0,1.0,1.0,1.0,0.288
289,1.0,1.0,1.0,1.0,1.0,0.289
290,1.0,1.0,1.0,1.0,1.0,0.29
291,1.0,1.0,1.0,1.0,1.0,0.291
292,1.0,1.0,1.0,1.0,1.0,0.292
293,1.0,1.0,1.0,1.0,1.0,0.293
294,1.0,1.0,1.0,1.0,1.0,0.294
295,1.0,1.0,1.0,1.0,1.0,0.295
296,1.0,1.0,1.0,1.0,1.0,0.296
297,1.0,1.0,1.0,1.0,1.0,0.297
298,1.0,1.0,1.0,1.0,1.0,0.298
299,1.0,1.0,1.0,1.0,1.0,0.299
300,1.0,1.0,1.0,1.0,1.0,0.3
301,1.0,1.0,1.0,1.0,1.0,0.301
302,1.0,1.0,1.0,1.0,1.0,0.302
303,1.0,1.0,1.0,1.0,1.0,0.303
304,1.0,1.0,1.0,1.0,1.0,0.304
305,1.0,1.0,1.0,1.0,1.0,0.305
306,1.0,1.0,1.0,1.0,1.0,0.306
307,1.0,1.0,1.0,1.0,1.0,0.307
308,1.0,1.0,1.0,1.0,1.0,0.308
309,1.0,1.0,1.0,1.0,1.0,0.309
310,1.0,1.0,1.0,1.0,1.0,0.31
311,1.0,1.0,1.0,1.0,1.0,0.311
312,1.0,1.0,1.0,1.0,1.0,0.312
313,1.0,1.0,1.0,1.0,1.0,0.313
314,1.0,1.0,1.0,1.0,1.0,0.314
315,1.0,1.0,1.0,1.0,1.0,0.315
316,1.0,1.0,1.0,1.0,1.0,0.316
317,1.0,1.0,1.0,1.0,1.0,0.317
318,1.0,1.0,1.0,1.0,1.0,0.318
319,1.0,1.0,1.0,1.0,1.0,0.319
320,1.0,1.0,1.0,1.0,1.0,0.32
321,1.0,1.0,1.0,1.0,1.0,0.321
322,1.0,1.0,1.0,1.0,1.0,0.322
323,1.0,1.0,1.0,1.0,1.0,0.323
324,1.0,1.0,1.0,1.0,1.0,0.324
325,1.0,1.0,1.0,1.0,1.0,0.325
